,precision,recall,f1-score,support
0,0.16666666666666666,0.09090909090909091,0.11764705882352942,11.0
1,0.6153846153846154,0.7619047619047619,0.6808510638297872,21.0
accuracy,0.53125,0.53125,0.53125,0.53125
macro avg,0.391025641025641,0.4264069264069264,0.3992490613266583,32.0
weighted avg,0.46113782051282054,0.53125,0.4872496871088861,32.0
