,precision,recall,f1-score,support
0,0.25,0.14285714285714285,0.18181818181818182,14.0
1,0.5862068965517241,0.7391304347826086,0.6538461538461539,23.0
accuracy,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.5135135135135135
macro avg,0.41810344827586204,0.4409937888198757,0.4178321678321678,37.0
weighted avg,0.45899347623485554,0.5135135135135135,0.47524097524097525,37.0
