,precision,recall,f1-score,support
0,0.4,0.42857142857142855,0.4137931034482759,14.0
1,0.6363636363636364,0.6086956521739131,0.6222222222222223,23.0
accuracy,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406
macro avg,0.5181818181818182,0.5186335403726708,0.5180076628352491,37.0
weighted avg,0.5469287469287469,0.5405405405405406,0.543357150253702,37.0
